request_id,pu_osmid,do_osmid,req_time,pu_taz,do_taz,pu_lon,pu_lat,do_lon,do_lat,accept_time_art,pu_time_art,do_time_art,trip_fare,tip,Unnamed: 14,earliest_pu_time,earliest_travel_time,earliest_arrival_time,remaining_time,deadline,travel_distance,num_passengers
1,65317547,65317715,25201,21,21,-122.4044406,37.7794476,-122.3983653,37.781794,11,153,665,15.01,3,1,25201,85.59530491,25286.5953,333.98826,25534.98826,866.111,1
2,65373321,65346411,25201,41,142,-122.4056307,37.8066897,-122.395574,37.741346,11,77,740,10.49,0,1,25201,604.0525441,25805.05254,1630.13136,26831.13136,9033.141,1
3,725298140,65310660,25203,43,184,-122.4265778,37.8079433,-122.4931142,37.7460291,9,380,1982,18.2,3,3,25203,915.1536452,26118.15365,2407.88411,27610.88411,14048.807,1
4,434685829,260194288,25204,41,23,-122.4189847,37.8109611,-122.4020702,37.804321,8,95,596,11.18,0,4,25204,179.7931947,25383.79319,569.48299,25773.48299,1845.683,2
5,65312365,65353956,25205,153,138,-122.4021093,37.7187197,-122.414364,37.731039,7,155,735,12.04,0,5,25205,228.8498888,25433.84989,692.12472,25897.12472,2495.128,1
6,65292759,65315717,25206,45,52,-122.4318427,37.7956473,-122.4611237,37.7927613,6,72,459,9.72,0,6,25206,367.4544521,25573.45445,1038.63613,26244.63613,3327.519,2
7,300781672,65317703,25209,41,16,-122.4119411,37.8084919,-122.3884059,37.7896449,3,197,888,11.28,0,9,25209,239.6699392,25448.66994,719.17485,25928.17485,3067.234,1
8,65315452,258475645,25211,17,69,-122.3878962,37.7847318,-122.4428199,37.7829602,11,264,596,7.8,0,11,25211,440.7824904,25651.78249,1221.95623,26432.95623,5485.523,1
9,65305514,65322820,25213,97,132,-122.43164,37.749028,-122.4564385,37.7287071,152,621,1091,7.75,0,13,25213,373.6684305,25586.66843,1054.17108,26267.17108,4518.996,3
10,65329937,65354898,25215,111,54,-122.3899664,37.7552713,-122.5106851,37.7819076,7,109,1968,28.49,0,15,25215,1006.75446,26221.75446,2636.88615,27851.88615,16043.276,2
