uniqueid,osmid_u,osmid_v,length,lanes,speed_mph,u,v,lane_mile,taz_u,taz_v,taz
0,4353687911,4353687912,9.93,1,25,213445,213446,0.006170231274932581,133.0,133.0,133.0
1,4353687911,258755862,297.487,2,30,213445,160417,0.36970062261548214,133.0,133.0,133.0
2,4353687912,65314933,103.237,2,30,213446,90878,0.1282973144270322,133.0,133.0,133.0
3,4353687912,4353687911,9.93,1,25,213446,213445,0.006170231274932581,133.0,133.0,133.0
20,4353689485,3921509240,9.663,1,25,213447,210595,0.006004324754247083,133.0,133.0,133.0
21,4353689485,258755861,90.388,2,30,213447,160416,0.11232927784060548,133.0,133.0,133.0
69,4353692273,4353692274,10.092,1,25,213448,213449,0.0062708936582698506,133.0,133.0,133.0
70,4353692273,1712504984,102.167,2,30,213448,191961,0.1269675767706016,133.0,133.0,133.0
71,4353692274,4353692273,10.092,1,25,213449,213448,0.0062708936582698506,133.0,133.0,133.0
72,4353692274,65314914,98.64700000000002,2,30,213449,90876,0.122593112704587,133.0,133.0,133.0
475,1656765987,311779353,59.322,1,30,190495,166609,0.03686107348353984,142.0,142.0,142.0
476,1656765987,1656766049,34.53,1,30,190495,190497,0.021456000596517828,142.0,142.0,142.0
477,318783029,65309482,16.878,1,20,168182,90326,0.010487529049175439,163.0,163.0,163.0
478,318783030,65309482,10.574000000000002,1,20,168183,90326,0.006570395317335058,163.0,163.0,163.0
479,1656766007,65293463,29.59,1,20,190496,88498,0.018386419277467782,111.0,111.0,111.0
480,1606434388,1606434399,53.548,3,40,190183,190184,0.09981980190637157,169.0,169.0,169.0
481,1606434388,65305937,33.297999999999995,2,20,190183,89877,0.04138093876993053,169.0,169.0,169.0
482,1606434399,65332940,118.449,3,40,190184,92408,0.22080293785029892,169.0,169.0,169.0
483,1656766049,311779353,39.769,2,30,190497,166609,0.04942274472765233,142.0,142.0,142.0
484,1656766049,340160946,11.455,1,30,190497,168905,0.007117824698323537,142.0,142.0,142.0
560,1656768193,65324424,47.641000000000005,1,20,190498,91730,0.02960281854673345,113.0,113.0,113.0
614,1711296487,1711296967,11.349,2,20,191943,191955,0.014103918376477315,133.0,133.0,133.0
615,1711296487,1711296909,49.447,2,20,191943,191953,0.06145003541824599,133.0,133.0,133.0
616,1711296502,1711296973,53.98500000000001,2,20,191944,191956,0.06708961437607965,133.0,132.0,Boundary
617,1711296502,1711296487,13.094,2,20,191944,191943,0.01627250922738514,133.0,133.0,133.0
619,1711296535,65293072,88.00299999999999,1,20,191945,88460,0.05468266494339294,166.0,166.0,166.0
