osmid,x,y,ref,highway,index,index_right,objectid,taz,district,county,gacres
65295275,-122.39762720000002,37.7935131,,traffic_signals,88714,338.0,339.0,1.0,1.0,San Francisco,32.5306466602
65295278,-122.3988009,37.793364700000005,,traffic_signals,88715,338.0,339.0,1.0,1.0,San Francisco,32.5306466602
65295279,-122.3999769,37.7932159,,traffic_signals,88716,415.0,416.0,2.0,1.0,San Francisco,49.9111280785
65307349,-122.39654509999998,37.7946019,,traffic_signals,90070,338.0,339.0,1.0,1.0,San Francisco,32.5306466602
65307352,-122.3978164,37.794441,,traffic_signals,90071,435.0,436.0,22.0,1.0,San Francisco,140.633077255
65307354,-122.3989918,37.7942922,,traffic_signals,90072,338.0,339.0,1.0,1.0,San Francisco,32.5306466602
65307356,-122.4001635,37.794144,,traffic_signals,90073,955.0,956.0,24.0,1.0,San Francisco,63.2414347851
65319908,-122.399572,37.791327,,traffic_signals,91350,415.0,416.0,2.0,1.0,San Francisco,49.9111280785
65327403,-122.3986103,37.7924133,,traffic_signals,92007,338.0,339.0,1.0,1.0,San Francisco,32.5306466602
65336474,-122.3997849,37.792261100000005,,traffic_signals,92666,415.0,416.0,2.0,1.0,San Francisco,49.9111280785
65352415,-122.3975688,37.792548,,traffic_signals,93736,338.0,339.0,1.0,1.0,San Francisco,32.5306466602
258756405,-122.3964008,37.7932487,,traffic_signals,160428,338.0,339.0,1.0,1.0,San Francisco,32.5306466602
317122247,-122.3966495,37.794588700000006,,traffic_signals,167813,338.0,339.0,1.0,1.0,San Francisco,32.5306466602
1723738831,-122.3982976,37.791734000000005,,traffic_signals,192053,338.0,339.0,1.0,1.0,San Francisco,32.5306466602
1723739123,-122.3991626,37.7910505,,traffic_signals,192069,416.0,417.0,4.0,1.0,San Francisco,30.8835897729
1723739266,-122.3974037,37.7924404,,traffic_signals,192080,338.0,339.0,1.0,1.0,San Francisco,32.5306466602
1723768769,-122.3964805,37.7936648,,traffic_signals,192084,338.0,339.0,1.0,1.0,San Francisco,32.5306466602
1723768799,-122.3963514,37.7936818,,traffic_signals,192085,338.0,339.0,1.0,1.0,San Francisco,32.5306466602
4019009287,-122.3974495,37.7926417,,traffic_signals,211662,338.0,339.0,1.0,1.0,San Francisco,32.5306466602
5014084172,-122.3962778,37.7933542,,traffic_signals,220513,338.0,339.0,1.0,1.0,San Francisco,32.5306466602
5014084173,-122.3965374,37.793125,,traffic_signals,220514,338.0,339.0,1.0,1.0,San Francisco,32.5306466602
65295289,-122.4044255,37.7926558,,traffic_signals,88719,1023.0,1024.0,26.0,1.0,San Francisco,21.9178594676
65295293,-122.4059535,37.792458200000006,,traffic_signals,88720,339.0,340.0,3.0,1.0,San Francisco,23.5898849663
65295299,-122.40755159999998,37.7922563,,traffic_signals,88721,956.0,957.0,29.0,1.0,San Francisco,59.0121497346
65319923,-122.404059,37.790765500000006,,traffic_signals,91352,339.0,340.0,3.0,1.0,San Francisco,23.5898849663
65319933,-122.4055991,37.7905698,,traffic_signals,91353,339.0,340.0,3.0,1.0,San Francisco,23.5898849663
65319940,-122.4071243,37.7903759,,traffic_signals,91354,956.0,957.0,29.0,1.0,San Francisco,59.0121497346
65328705,-122.4057597,37.7915047,,traffic_signals,92130,339.0,340.0,3.0,1.0,San Francisco,23.5898849663
65352429,-122.4042334,37.7917031,,traffic_signals,93738,339.0,340.0,3.0,1.0,San Francisco,23.5898849663
65352435,-122.40735829999998,37.79130120000001,,traffic_signals,93739,956.0,957.0,29.0,1.0,San Francisco,59.0121497346
3406598342,-122.4064263,37.7903715,,,206955,340.0,341.0,5.0,1.0,San Francisco,84.6067427408
3406604945,-122.4068215,37.7904144,,,206956,339.0,340.0,3.0,1.0,San Francisco,23.5898849663
65303533,-122.4038718,37.7898332,,traffic_signals,89601,340.0,341.0,5.0,1.0,San Francisco,84.6067427408
65303538,-122.4054347,37.7896352,,traffic_signals,89602,340.0,341.0,5.0,1.0,San Francisco,84.6067427408
65303541,-122.4069817,37.7894357,,traffic_signals,89603,340.0,341.0,5.0,1.0,San Francisco,84.6067427408
65303544,-122.4086156,37.7892289,,traffic_signals,89604,957.0,958.0,6.0,1.0,San Francisco,48.8971501246
65314146,-122.4036842,37.788901,,traffic_signals,90799,340.0,341.0,5.0,1.0,San Francisco,84.6067427408
65319944,-122.4088057,37.790162200000005,,traffic_signals,91355,957.0,958.0,6.0,1.0,San Francisco,48.8971501246
65328690,-122.4050568,37.7877685,,traffic_signals,92129,340.0,341.0,5.0,1.0,San Francisco,84.6067427408
65334111,-122.4034972,37.7879652,,traffic_signals,92526,340.0,341.0,5.0,1.0,San Francisco,84.6067427408
552853360,-122.4082332,37.7873668,,traffic_signals,178729,1025.0,1026.0,7.0,1.0,San Francisco,73.2253271291
552853367,-122.4084166,37.7882951,,traffic_signals,178730,1025.0,1026.0,7.0,1.0,San Francisco,73.2253271291
1271001343,-122.4067939,37.7885009,,traffic_signals,188066,340.0,341.0,5.0,1.0,San Francisco,84.6067427408
1271001348,-122.4052473,37.7887033,,traffic_signals,188067,340.0,341.0,5.0,1.0,San Francisco,84.6067427408
1578907668,-122.4080561,37.7864339,,traffic_signals,189906,1025.0,1026.0,7.0,1.0,San Francisco,73.2253271291
1723738887,-122.4059164,37.7857139,,traffic_signals,192059,340.0,341.0,5.0,1.0,San Francisco,84.6067427408
1723738990,-122.4034364,37.7876758,,traffic_signals,192063,340.0,341.0,5.0,1.0,San Francisco,84.6067427408
1723739121,-122.4029838,37.7880314,,traffic_signals,192068,416.0,417.0,4.0,1.0,San Francisco,30.8835897729
2936165726,-122.406589,37.7875664,,traffic_signals,204713,340.0,341.0,5.0,1.0,San Francisco,84.6067427408
3810293247,-122.4068519,37.7856295,,,210289,340.0,341.0,5.0,1.0,San Francisco,84.6067427408
65300085,-122.4004765,37.785012,,traffic_signals,89302,341.0,342.0,12.0,1.0,San Francisco,85.4418901818
65300097,-122.40204140000002,37.78626129999999,,traffic_signals,89303,341.0,342.0,12.0,1.0,San Francisco,85.4418901818
65305814,-122.4020317,37.7891058,,traffic_signals,89857,416.0,417.0,4.0,1.0,San Francisco,30.8835897729
65306797,-122.3982588,37.786773,,traffic_signals,89989,420.0,421.0,16.0,1.0,San Francisco,197.841241524
65306800,-122.39898429999998,37.7862063,,traffic_signals,89990,420.0,421.0,16.0,1.0,San Francisco,197.841241524
65306802,-122.3993791,37.7858875,,traffic_signals,89991,341.0,342.0,12.0,1.0,San Francisco,85.4418901818
65306804,-122.4027076,37.7832509,,traffic_signals,89992,418.0,419.0,11.0,1.0,San Francisco,129.929058334
65317030,-122.3998107,37.7880097,,traffic_signals,91045,341.0,342.0,12.0,1.0,San Francisco,85.4418901818
65329980,-122.40050890000002,37.7874553,,traffic_signals,92252,341.0,342.0,12.0,1.0,San Francisco,85.4418901818
65351772,-122.4042562,37.7844896,,traffic_signals,93700,418.0,419.0,11.0,1.0,San Francisco,129.929058334
1723738893,-122.4020077,37.788802,,traffic_signals,192060,416.0,417.0,4.0,1.0,San Francisco,30.8835897729
1723739244,-122.4013982,37.789283700000006,,traffic_signals,192078,416.0,417.0,4.0,1.0,San Francisco,30.8835897729
65303525,-122.4005888,37.7902502,,traffic_signals,89599,416.0,417.0,4.0,1.0,San Francisco,30.8835897729
65306795,-122.3960285,37.7885423,,traffic_signals,89988,420.0,421.0,16.0,1.0,San Francisco,197.841241524
65334510,-122.397564,37.789771,,traffic_signals,92540,342.0,343.0,13.0,1.0,San Francisco,42.4431684916
1723739241,-122.4000967,37.7903123,,,192077,416.0,417.0,4.0,1.0,San Francisco,30.8835897729
1723739359,-122.3995716,37.790727200000006,,,192081,416.0,417.0,4.0,1.0,San Francisco,30.8835897729
65303488,-122.3940959,37.792562,,traffic_signals,89594,343.0,344.0,15.0,1.0,San Francisco,45.6870147075
65303495,-122.3925074,37.7912945,,traffic_signals,89595,420.0,421.0,16.0,1.0,San Francisco,197.841241524
65306785,-122.3916518,37.792,,traffic_signals,89984,420.0,421.0,16.0,1.0,San Francisco,197.841241524
65306787,-122.3934057,37.7906148,,traffic_signals,89985,420.0,421.0,16.0,1.0,San Francisco,197.841241524
65309522,-122.3932061,37.7932459,,traffic_signals,90328,435.0,436.0,22.0,1.0,San Francisco,140.633077255
65329405,-122.3949513,37.7918524,,traffic_signals,92183,419.0,420.0,14.0,1.0,San Francisco,49.0289292067
65363148,-122.3924485,37.7938314,,traffic_signals,94339,435.0,436.0,22.0,1.0,San Francisco,140.633077255
258965613,-122.3926006,37.7937142,,traffic_signals,160822,435.0,436.0,22.0,1.0,San Francisco,140.633077255
260193609,-122.3912179,37.7923424,,traffic_signals,161292,420.0,421.0,16.0,1.0,San Francisco,197.841241524
1723738865,-122.3956943,37.793826200000005,,traffic_signals,192058,435.0,436.0,22.0,1.0,San Francisco,140.633077255
1723738998,-122.3939014,37.7937627,,,192064,343.0,344.0,15.0,1.0,San Francisco,45.6870147075
3719575845,-122.390971,37.7925459,,traffic_signals,209942,343.0,344.0,15.0,1.0,San Francisco,45.6870147075
65281061,-122.4016133,37.7778393,2,motorway_junction,87640,344.0,345.0,18.0,1.0,San Francisco,171.998520481
65281097,-122.4003134,37.77780429999999,,traffic_signals,87641,344.0,345.0,18.0,1.0,San Francisco,171.998520481
65281916,-122.4018579,37.7790353,,traffic_signals,87663,344.0,345.0,18.0,1.0,San Francisco,171.998520481
65282779,-122.399635,37.7807911,,traffic_signals,87689,344.0,345.0,18.0,1.0,San Francisco,171.998520481
65284950,-122.3980878,37.7795658,,traffic_signals,87756,344.0,345.0,18.0,1.0,San Francisco,171.998520481
65285622,-122.3957703,37.7777178,,,87775,344.0,345.0,18.0,1.0,San Francisco,171.998520481
65290217,-122.3958596,37.7813262,,traffic_signals,88156,344.0,345.0,18.0,1.0,San Francisco,171.998520481
65290225,-122.40143290000002,37.776919,,,88157,344.0,345.0,18.0,1.0,San Francisco,171.998520481
65290229,-122.4025378,37.776045200000006,,traffic_signals,88158,422.0,423.0,19.0,1.0,San Francisco,201.021089774
65290795,-122.398999,37.777975,,,88192,344.0,345.0,18.0,1.0,San Francisco,171.998520481
65290798,-122.399767,37.7773689,,,88193,344.0,345.0,18.0,1.0,San Francisco,171.998520481
65293768,-122.4040826,37.7772779,,traffic_signals,88555,434.0,435.0,21.0,1.0,San Francisco,126.447802942
65293777,-122.4033895,37.7767255,,,88556,422.0,423.0,19.0,1.0,San Francisco,201.021089774
65293779,-122.4009956,37.7748144,,traffic_signals,88557,422.0,423.0,19.0,1.0,San Francisco,201.021089774
65299118,-122.3950877,37.7807099,,,89177,344.0,345.0,18.0,1.0,San Francisco,171.998520481
65300049,-122.3927644,37.778855,,traffic_signals,89296,344.0,345.0,18.0,1.0,San Francisco,171.998520481
65300052,-122.3943162,37.780094,,traffic_signals,89297,344.0,345.0,18.0,1.0,San Francisco,171.998520481
65300059,-122.3964029,37.7817599,,,89298,344.0,345.0,18.0,1.0,San Francisco,171.998520481
65300069,-122.3968469,37.7821144,,traffic_signals,89299,344.0,345.0,18.0,1.0,San Francisco,171.998520481
65300073,-122.3974003,37.7825562,,traffic_signals,89300,434.0,435.0,21.0,1.0,San Francisco,126.447802942
65303678,-122.40297040000002,37.7781564,,,89640,434.0,435.0,21.0,1.0,San Francisco,126.447802942
65315477,-122.3965439,37.7783334,,traffic_signals,90911,344.0,345.0,18.0,1.0,San Francisco,171.998520481
65315481,-122.3987697,37.776574,,traffic_signals,90912,344.0,345.0,18.0,1.0,San Francisco,171.998520481
65317715,-122.3983653,37.781794,,,91156,434.0,435.0,21.0,1.0,San Francisco,126.447802942
65317717,-122.40239440000002,37.7786114,,,91157,434.0,435.0,21.0,1.0,San Francisco,126.447802942
65324087,-122.3979976,37.7759585,,,91708,344.0,345.0,18.0,1.0,San Francisco,171.998520481
