x_x,y_x,x_y,y_y,time_departure
-122.399572,37.791327,-122.4093899,37.8013747,19590
-122.4009593,37.7921162,-122.4140702,37.7828026,20006.4
-122.3995716,37.7907272,-122.4024099,37.7909791,20525.5
-122.4038718,37.7898332,-122.391831,37.739228,20581
-122.4027912,37.7928594,-122.331159,37.5130692,20640.2
-122.3997849,37.7922611,-122.4034972,37.7879652,20841.4
-122.4005888,37.7902502,-122.4046825,37.7991022,20914.5
-122.4109719,37.7841515,-122.4109356,37.7792109,20950.7
-122.4052473,37.7887033,-122.3884059,37.7896449,21074.6
-122.4166194,37.7786767,-122.4220908,37.7422007,21223.7
-122.4129919,37.7858081,-122.4719566,37.5030527,21255.5
-122.4020317,37.7891058,-122.4091081,37.8081143,21340.3
-122.4125763,37.7805274,-122.4131792,37.786738,21370.9
-122.4007726,37.7911821,-122.4193731,37.7099524,21376.4
-122.4162654,37.7774619,-122.288247,37.7831492,21407.9
-122.3999769,37.7932159,-122.4250171,37.7785401,21451.5
-122.4020077,37.788802,-122.4029757,37.7937875,21468.2
-122.4007726,37.7911821,-122.491105,37.7870542,21775.2
-122.4126147,37.7839425,-122.192652,37.8030524,21792
-122.4007726,37.7911821,-122.4072642,37.7619362,21836.1
-122.4120997,37.7897443,-122.2910429,37.5111078,21862.8
-122.4036842,37.788901,-122.3987149,37.7988841,21865.3
-122.4086156,37.7892289,-122.42369,37.759966,21945.1
-122.4129919,37.7858081,-122.4239945,37.7519118,21962.6
-122.4120025,37.7809809,-122.3968469,37.7821144,21987.8
-122.4113476,37.7860145,-122.4116159,37.7762133,22059.6
-122.4088057,37.7901622,-122.4028474,37.779824,22085.4
-122.4153391,37.7807264,-122.426319,37.7630207,22139.5
-122.4020317,37.7891058,-122.4944473,37.7497135,22145
-122.399572,37.791327,-122.4703166,37.7750785,22172.8
-122.3975688,37.792548,-122.6857882,38.3630785,22243.2
-122.4029838,37.7880314,-122.4277887,37.783926,22282.7
-122.410784,37.7832203,-122.4150416,37.7460507,22339
-122.4089543,37.7863178,-122.3899224,37.7909191,22343
-122.4128028,37.7848729,-122.4115357,37.7869469,22447.8
-122.4013982,37.7892837,-122.3983653,37.781794,22452.5
-122.3991626,37.7910505,-122.3932061,37.7932459,22453
-122.3997849,37.7922611,-122.3941277,37.7764146,22481.6
-122.4029757,37.7937875,-122.4879591,37.7798883,22562.9
-122.3995716,37.7907272,-122.2710594,37.8469603,22566.8
-122.4093268,37.7843607,-122.390971,37.7925459,22579.7
-122.4103557,37.7822065,-122.4773927,37.7823627,22591.1
-122.410784,37.7832203,-122.4120997,37.7897443,22642
-122.4169854,37.782432,-122.4382199,37.7854674,22698.4
-122.4013982,37.7892837,-122.4525234,37.7836562,22726.2
-122.4131792,37.786738,-122.4130129,37.7525713,22764.7
-122.411717,37.7812048,-122.3975688,37.792548,22774
-122.4020317,37.7891058,-122.4035822,37.7344055,22800
-122.4147017,37.7817657,-122.4029913,37.8021689,22840.8
-122.4084166,37.7882951,-122.4005089,37.7874553,22900.1
-122.4125763,37.7805274,-122.4341274,37.7735594,22904.3
-122.4091399,37.7834292,-122.4208894,37.7915127,22917.4
-122.4027912,37.7928594,-122.3932061,37.7932459,22926
-122.4119117,37.7888113,-122.3942781,37.5732586,22930.3
-122.4007726,37.7911821,-122.3991626,37.7910505,22931.3
-122.399572,37.791327,-122.4269922,37.7468971,22950.2
-122.4027912,37.7928594,-122.4867888,37.7631462,22953.9
-122.4169854,37.782432,-122.423958,37.709013,22977.7
-122.4086156,37.7892289,-122.4146827,37.7970977,23000.8
-122.419005,37.7821738,-122.3513395,37.5767411,23012.5
-122.4054347,37.7896352,-122.4064185,37.6445699,23059.9
-122.4029838,37.7880314,-122.4491014,37.7668721,23060.8
-122.406589,37.7875664,-122.4285479,37.751637,23071.1
-122.411717,37.7812048,-122.4301357,37.7788449,23091.1
-122.4067939,37.7885009,-122.3932673,37.7758339,23092.1
-122.4159234,37.7752776,-122.4020317,37.7891058,23094.1
-122.3986103,37.7924133,-122.4027912,37.7928594,23137.3
-122.4115357,37.7869469,-122.3916518,37.792,23140.6
-122.406589,37.7875664,-122.3951606,37.7583514,23149.4
-122.4122382,37.7820804,-122.4075026,37.7738722,23156.5
-122.4125763,37.7805274,-122.4231394,37.7272919,23161.3
-122.4120997,37.7897443,-122.3993791,37.7858875,23207.2
-122.3964008,37.7932487,-122.4842498,37.6740002,23230.1
-122.4166194,37.7786767,-122.3912288,37.7916899,23277.4
-122.4020077,37.788802,-122.4459875,37.7986309,23280.5
-122.3997849,37.7922611,-122.4059164,37.7857139,23300.5
-122.415511,37.7756043,-122.4169854,37.782432,23302.8
-122.3999769,37.7932159,-122.3932638,37.7942556,23319.2
-122.4020077,37.788802,-122.4040826,37.7772779,23351.6
-122.4022209,37.7900432,-122.4298073,37.7531537,23373.8
-122.417548,37.7833151,-122.4034972,37.7879652,23388
-122.4050568,37.7877685,-122.4060019,37.7752647,23411.5
-122.4148257,37.7787765,-122.4340532,37.7982364,23438.2
-122.4095133,37.7852904,-122.448426,37.7214498,23461.6
-122.4084166,37.7882951,-122.2669978,37.7954988,23468
-122.4181563,37.777974,-122.395732,37.744296,23473.1
-122.4133664,37.7876672,-122.2627629,37.5672627,23476.1
-122.4097,37.7862213,-122.407413,37.7997116,23499.4
-122.4113476,37.7860145,-122.3919168,37.7781551,23501.7
-122.4052473,37.7887033,-122.429037,37.745165,23517.6
-122.4103557,37.7822065,-122.3768853,37.7343502,23537.4
-122.4011522,37.7930673,-122.3968478,37.7100578,23540.1
-122.4020077,37.788802,-122.4087215,37.7809779,23542.1
-122.3989918,37.7942922,-122.4034972,37.7879652,23556.8
-122.3966495,37.7945887,-122.3993791,37.7858875,23557.3
-122.4088057,37.7901622,-122.4095539,37.7938585,23562.7
-122.4054347,37.7896352,-122.4025983,37.791909,23565.1
-122.4050568,37.7877685,-122.3988009,37.7933647,23565.8
-122.4022209,37.7900432,-122.4149761,37.7286644,23574
-122.4036842,37.788901,-122.397564,37.789771,23579.7
-122.4089543,37.7863178,-122.3909795,37.7900822,23589.4
-122.4104533,37.7899531,-122.445779,37.7892495,23619
-122.4080709,37.7840127,-122.4272709,37.7730066,23631.5
-122.4084166,37.7882951,-122.4103829,37.7643089,23633.4
-122.4054347,37.7896352,-122.4031749,37.8051409,23634
-122.3997849,37.7922611,-122.408155,37.7358849,23635.2
-122.4009593,37.7921162,-122.468855,37.7846249,23638.6
-122.3976272,37.7935131,-122.4097,37.7862213,23647.4
-122.4098893,37.7871562,-122.395882,37.7956177,23654.8
-122.3997849,37.7922611,-122.4386073,37.7957444,23662.2
-122.419005,37.7821738,-122.3929508,37.5997976,23676.4
-122.3974495,37.7926417,-122.3806449,37.7253123,23688.8
-122.3982976,37.791734,-122.4707277,37.7807976,23695.2
-122.4149213,37.7788674,-122.4076238,37.7561139,23699.6
-122.4133664,37.7876672,-122.4233185,37.7948089,23715.7
-122.4000967,37.7903123,-122.3974003,37.7825562,23724.6
-122.4135549,37.7886026,-122.49251,37.6966481,23731.6
-122.4029757,37.7937875,-122.4320198,37.7212455,23740.4
-122.4034972,37.7879652,-122.4211362,37.784774,23741.5
-122.4191918,37.7831061,-122.4909557,37.6622835,23747.5
-122.4119117,37.7888113,-122.4054511,37.7713038,23754.5
-122.4080561,37.7864339,-122.4294095,37.764132,23759.1
-122.4135549,37.7886026,-122.4029757,37.7937875,23785
-122.4067939,37.7885009,-122.4190077,37.6279658,23794.7
-122.4120562,37.7811625,-122.396114,37.7964817,23799.7
-122.4086156,37.7892289,-122.4566836,37.7764237,23836.1
-122.4086959,37.7853941,-122.4205724,37.7819721,23839
-122.4029838,37.7880314,-122.4351309,37.795229,23877.1
-122.4024099,37.7909791,-122.46555,37.752856,23880.5
-122.4027912,37.7928594,-122.468855,37.7846249,23884.3
-122.4086156,37.7892289,-122.4197717,37.7706376,23888.8
-122.4097,37.7862213,-122.4148222,37.7865291,23902.8
-122.4027912,37.7928594,-122.5038035,37.7605233,23905.1
